place_name,city,state,country,category,description,attractions,nearby_places,tags,image_query,avg_budget_per_day,best_season,rating,latitude,longitude
Khajuraho,Khajuraho,Madhya Pradesh,India,"Heritage, Culture","Known for its stunning temples with intricate and famous erotic sculptures.","Kandariya Mahadeva Temple, Lakshmana Temple, Western Group of Temples, Sound and Light Show","Orchha, Panna","Heritage, Culture, Sculptures, History",khajuraho temples,3000,Winter,4.7,24.8318,79.9199
Jodhpur,Jodhpur,Rajasthan,India,"Heritage, Culture","The Blue City of Rajasthan, famous for the imposing Mehrangarh Fort and vibrant bazaars.","Mehrangarh Fort, Jaswant Thada, Umaid Bhawan Palace, Clock Tower Market","Jaisalmer, Jaipur","Heritage, Culture, Desert, Royalty, Photography",jodhpur blue city,3000,Winter,4.7,26.2389,73.0243
Jaisalmer,Jaisalmer,Rajasthan,India,"Desert, Adventure","The Golden City rising from the Thar Desert, known for its sand dunes, havelis, and desert safaris.","Jaisalmer Fort, Sam Sand Dunes, Patwon Ki Haveli, Gadisar Lake","Jodhpur, Bikaner","Desert, Adventure, Camel Safari, Culture, Heritage",jaisalmer desert,4000,Winter,4.8,26.9157,70.9083
Amritsar,Amritsar,Punjab,India,"Spiritual, Culture","Home to the magnificent Golden Temple, the holiest shrine of Sikhism and a symbol of unity.","Golden Temple, Jallianwala Bagh, Wagah Border, Partition Museum","Dharamshala, Chandigarh","Spiritual, Culture, Pilgrimage, Food, History",golden temple amritsar,2500,Winter,4.9,31.6340,74.8723
Srinagar,Srinagar,Jammu and Kashmir,India,"Nature, Romantic","Known as the Paradise on Earth, famous for its Dal Lake houseboats and Mughal gardens.","Dal Lake, Shalimar Bagh, Nishat Bagh, Shankaracharya Temple","Gulmarg, Pahalgam","Nature, Romantic, Lakes, Shikara, Mughal Gardens",srinagar dal lake,5000,Summer,4.9,34.0837,74.7973
Gulmarg,Gulmarg,Jammu and Kashmir,India,"Mountain, Adventure","One of the premier ski destinations in Asia with a stunning gondola ride and flower-filled meadows.","Gulmarg Gondola, Khilanmarg, Alpather Lake, Strawberry Valley","Srinagar, Pahalgam","Mountain, Adventure, Snow, Skiing, Romantic",gulmarg skiing,5000,Winter,4.8,34.0484,74.3805
Andaman Islands,Port Blair,Andaman and Nicobar Islands,India,"Beach, Adventure","A tropical archipelago with pristine beaches, coral reefs, and remnants of colonial history.","Radhanagar Beach, Cellular Jail, Havelock Island, Ross Island","Neil Island, Baratang","Beach, Adventure, Scuba Diving, Snorkeling, Island",andaman beach,6000,Winter,4.8,11.6234,92.7265
Mysore,Mysore,Karnataka,India,"Culture, Heritage","The City of Palaces known for its royal heritage, silk sarees, and the grand Dasara festival.","Mysore Palace, Chamundi Hills, Brindavan Gardens, St. Philomena's Church","Bangalore, Coorg","Culture, Heritage, Palaces, Silk, Festival",mysore palace,2500,Autumn,4.7,12.2958,76.6394
Ranthambore,Sawai Madhopur,Rajasthan,India,"Wildlife, Adventure","One of India's largest national parks and the best place to spot Royal Bengal Tigers in the wild.","Ranthambore Fort, Padam Talao, Raj Bagh Ruins, Trinetra Ganesh Temple","Jaipur, Bundi","Wildlife, Adventure, Safari, Tiger, Nature",ranthambore tiger,5000,Winter,4.7,26.0173,76.5026
Jim Corbett,Ramnagar,Uttarakhand,India,"Wildlife, Nature","India's oldest national park, established in 1936, famous for Bengal tigers and diverse wildlife.","Bijrani Zone, Dhikala Zone, Corbett Falls, Garjia Temple","Nainital, Ranikhet","Wildlife, Nature, Safari, Tiger, Adventure",jim corbett national park,5500,Winter,4.6,29.5300,78.7747
Nainital,Nainital,Uttarakhand,India,"Hill Station, Nature","A charming hill station centered around the emerald Naini Lake, surrounded by forested hills.","Naini Lake, Naina Devi Temple, Snow View Point, Mall Road","Jim Corbett, Almora","Hill Station, Nature, Lake, Boating, Romantic",nainital lake,3000,Summer,4.6,29.3919,79.4542
Lonavala,Lonavala,Maharashtra,India,"Hill Station, Nature","A popular weekend getaway from Mumbai and Pune with waterfalls, caves, and misty valleys.","Bhushi Dam, Tiger's Leap, Karla Caves, Rajmachi Fort","Mumbai, Pune","Hill Station, Nature, Waterfalls, Trekking, Weekend Getaway",lonavala hill station,2500,Monsoon,4.4,18.7546,73.4062
Pondicherry,Puducherry,Puducherry,India,"Beach, Culture","A unique blend of French colonial charm and South Indian culture with serene beaches and ashrams.","Rock Beach, Aurobindo Ashram, French Quarter, Serenity Beach","Chennai, Mahabalipuram","Beach, Culture, French Architecture, Spiritual, Food",pondicherry beach,3000,Winter,4.7,11.9139,79.8145
Pushkar,Pushkar,Rajasthan,India,"Spiritual, Culture","One of the oldest cities in India, known for the sacred Pushkar Lake and the annual camel fair.","Brahma Temple, Pushkar Lake, Savitri Temple, Pushkar Camel Fair","Ajmer, Jaipur","Spiritual, Culture, Desert, Festival, Pilgrimage",pushkar lake,2000,Winter,4.6,26.4898,74.5511
Delhi,New Delhi,Delhi,India,"City, Heritage","The capital city blending centuries of history from Mughal heritage to modern metropolitan life.","Red Fort, Qutub Minar, India Gate, Humayun's Tomb","Agra, Jaipur","City, Heritage, Culture, Food, Shopping, History",india gate delhi,3500,Winter,4.5,28.6139,77.2090
Wayanad,Wayanad,Kerala,India,"Nature, Adventure","A lush green district in Kerala with dense forests, misty peaks, and ancient caves.","Edakkal Caves, Banasura Sagar Dam, Chembra Peak, Soochipara Falls","Coorg, Mysore","Nature, Adventure, Trekking, Wildlife, Waterfalls",wayanad kerala,3000,Winter,4.7,11.6854,76.1320
Auroville,Auroville,Tamil Nadu,India,"Spiritual, Culture","An experimental township dedicated to human unity and sustainable living near Puducherry.","Matrimandir, Auroville Beach, Sadhana Forest, Town Hall","Puducherry, Chennai","Spiritual, Culture, Sustainable Living, Peace, Community",auroville matrimandir,2000,Winter,4.5,12.0065,79.8107
Kaziranga,Kaziranga,Assam,India,"Wildlife, Nature","Home to the world's largest population of one-horned rhinoceroses in lush floodplain grasslands.","Kaziranga National Park, Elephant Safari, Jeep Safari, Central Range","Shillong, Majuli","Wildlife, Nature, Safari, Rhinoceros, Birdwatching",kaziranga rhino,4000,Winter,4.8,26.5775,93.1711
Shillong,Shillong,Meghalaya,India,"Nature, Hill Station","The Scotland of the East, known for its living root bridges, waterfalls, and pleasant climate.","Elephant Falls, Shillong Peak, Ward's Lake, Don Bosco Museum","Cherrapunji, Guwahati","Nature, Hill Station, Waterfalls, Music, Culture",shillong meghalaya,3000,Autumn,4.6,25.5788,91.8933
Cherrapunji,Sohra,Meghalaya,India,"Nature, Adventure","One of the wettest places on Earth, famous for its living root bridges and spectacular waterfalls.","Nohkalikai Falls, Double Decker Root Bridge, Mawsmai Cave, Seven Sisters Falls","Shillong, Dawki","Nature, Adventure, Waterfalls, Trekking, Unique",cherrapunji waterfalls,2500,Monsoon,4.7,25.2700,91.7195
Kutch,Bhuj,Gujarat,India,"Desert, Culture","Known for the surreal white desert of the Great Rann and vibrant tribal handicrafts.","Rann of Kutch, Aina Mahal, Prag Mahal, Kutch Museum","Ahmedabad, Mandvi","Desert, Culture, Festival, Handicrafts, Photography",rann of kutch,3500,Winter,4.7,23.7337,69.8597
Havelock Island,Havelock,Andaman and Nicobar Islands,India,"Beach, Adventure","A paradise island with some of Asia's best beaches, crystal-clear waters, and vibrant coral reefs.","Radhanagar Beach, Elephant Beach, Kalapathar Beach, Scuba Diving","Neil Island, Port Blair","Beach, Adventure, Scuba Diving, Snorkeling, Island",havelock island beach,6500,Winter,4.9,11.9667,93.0000
Spiti Valley,Kaza,Himachal Pradesh,India,"Mountain, Adventure","A cold desert mountain valley at 12,500 ft known for ancient monasteries and lunar landscapes.","Key Monastery, Chandratal Lake, Pin Valley, Kunzum Pass","Manali, Leh","Mountain, Adventure, Remote, Buddhist Monasteries, Photography",spiti valley,4000,Summer,4.9,32.5930,78.0350
Mcleodganj,McLeod Ganj,Himachal Pradesh,India,"Spiritual, Mountain","A suburb of Dharamshala and the seat of the Tibetan government-in-exile with strong Buddhist culture.","Triund Trek, Bhagsu Waterfall, Namgyal Monastery, Dal Lake","Dharamshala, Bir Billing","Spiritual, Mountain, Trekking, Buddhist, Peace, Cafe Culture",mcleodganj trek,2500,Summer,4.7,32.2427,76.3230
Kolkata,Kolkata,West Bengal,India,"City, Culture","The City of Joy known for its colonial architecture, literary heritage, and iconic street food.","Victoria Memorial, Howrah Bridge, Dakshineswar Kali Temple, Indian Museum","Darjeeling, Sundarbans","City, Culture, Heritage, Food, Literature, Art",kolkata victoria memorial,2500,Winter,4.6,22.5726,88.3639
Chennai,Chennai,Tamil Nadu,India,"City, Beach","The Gateway to South India with ancient temples, a vibrant art scene, and Marina Beach.","Marina Beach, Kapaleeshwarar Temple, Fort St. George, Government Museum","Mahabalipuram, Puducherry","City, Beach, Culture, Heritage, Food",chennai marina beach,3000,Winter,4.5,13.0827,80.2707
